licence,route,start_index,stop_index,stop_no,stop_name_eng,stop_name_th,eta_0min,predicted_arrival_time_0min,actual_arrival_time,time_difference_min,eta_15min
10-1264,Bus 2 -> Bus 1 -> Patong,244,2334,72,Vachira Phuket Hospital,โรงพยาบาลวชิระภูเก็ต,31,2025-11-19 14:56:18.978132,,,34.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2559,73,Bangkok Hospital Phuket,โรงพยาบาลกรุงเทพภูเก็ต,35,2025-11-19 14:56:18.978132,,,37.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2715,74,Chillva Market,ตลาดชิลวา,37,2025-11-19 14:56:18.978132,,,39.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2809,75,Lotus Samkong,โลตัส สามกอง,38,2025-11-19 14:56:18.978132,,,40.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2935,76,Andamanda Phuket Waterpark,สวนน้ำอันดามันดา,39,2025-11-19 14:56:18.978132,,,42.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,3266,77,Kathu Fresh Market,ตลาดสดกะทู้,42,2025-11-19 14:56:18.978132,,,44.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,3459,78,PTT Station Kathu,ปตท. กะทู้,44,2025-11-19 14:56:18.978132,,,46.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,3649,79,Siko,สี่กอ,45,2025-11-19 14:56:18.978132,,,48.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,3736,80,Kathu Police Station,สถานีตำรวจภูธรกะทู้,46,2025-11-19 14:56:18.978132,,,49.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,4922,81,Coffee Mania,คอฟฟี่ มาเนีย,64,2025-11-19 14:56:18.978132,,,66.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,5178,82,Malin Plaza,มาลินพลาซ่า,67,2025-11-19 14:56:18.978132,,,70.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,0,83,Patong,ป่าตอง,0,2025-11-19 14:56:19.050893,,,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,115,84,Malin Plaza,มาลินพลาซ่า,0,2025-11-19 14:56:19.050893,,,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,371,85,Makro Nanai,แม็คโคร นาใน,0,2025-11-19 14:56:19.050893,,,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,1550,86,Kathu Police Station,สถานีตำรวจภูธรกะทู้,0,2025-11-19 14:56:19.050893,2025-11-19 14:58:20.507870,2.02428295,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,1652,87,Siko,สี่กอ,1,2025-11-19 14:56:19.050893,2025-11-19 15:02:22.499801,6.057481800000001,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,1843,88,PTT Station Kathu,ปตท. กะทู้,2,2025-11-19 14:56:19.050893,2025-11-19 15:03:22.992972,7.065701316666666,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,2031,89,Kathu Fresh Market,ตลาดสดกะทู้,4,2025-11-19 14:56:19.050893,2025-11-19 15:05:24.099095,9.084136699999998,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,2377,90,Andamanda Phuket Waterpark,สวนน้ำอันดามันดา,7,2025-11-19 14:56:19.050893,2025-11-19 15:07:25.325117,11.1045704,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,2484,91,Lotus Samkong,โลตัส สามกอง,8,2025-11-19 14:56:19.050893,2025-11-19 15:08:25.927124,12.11460385,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,2580,92,Chillva Market,ตลาดชิลวา,9,2025-11-19 14:56:19.050893,2025-11-19 15:08:56.194049,12.6190526,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,2727,93,Bangkok Hospital Phuket,โรงพยาบาลกรุงเทพภูเก็ต,11,2025-11-19 14:56:19.050893,,,1.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,2966,94,Vachira Phuket Hospital,โรงพยาบาลวชิระภูเก็ต,15,2025-11-19 14:56:19.050893,,,4.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,3184,95,Phuket Wittayalai School,โรงเรียนภูเก็ตวิทยาลัย,17,2025-11-19 14:56:19.050893,,,7.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,3270,96,Satree Phuket School,โรงเรียนสตรีภูเก็ต,18,2025-11-19 14:56:19.050893,,,8.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,3411,115,Sanamchai,สนามชัย,20,2025-11-19 14:56:19.050893,,,9.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,3774,98,Phuket Bus Terminal 1,สถานีขนส่งภูเก็ต 1,31,2025-11-19 14:56:19.050893,,,20.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,4052,99,Sanamchai,สนามชัย,35,2025-11-19 14:56:19.050893,,,24.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,4180,100,Phuket Provincial Cooperative Office,สำนักงานสหกรณ์จังหวัด,36,2025-11-19 14:56:19.050893,,,25.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,4358,101,Baan Natkamon,บ้านณัฐกมล,38,2025-11-19 14:56:19.050893,,,27.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,4507,102,Big C Mini Kingkaew,บิ๊กซีมินิ กิ่งแก้ว,39,2025-11-19 14:56:19.050893,,,29.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,4616,103,Soi Thachin,ป้ายซอยท่าจีน,40,2025-11-19 14:56:19.050893,,,29.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,4776,104,Dcondo Campus Kuku,ดีคอนโด กู้กู,42,2025-11-19 14:56:19.050893,,,31.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,4859,105,Ban Kuku School,โรงเรียนบ้านกู้กู,42,2025-11-19 14:56:19.050893,,,32.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,5122,106,Big C Market Thepkrasattri,บิ๊กซี มาร์เก็ต เทพกระษัตรี,45,2025-11-19 14:56:19.050893,,,34.0
10-1155,Rawai -> Airport,8342,4,16,Rawai Beach,หาดราไวย์,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,642,17,Sai Yuan,ไสยวน,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,1565,18,Andaman Cannacia Resort,อันดามัน คาเนเซีย,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,1728,19,Beyond hotel Kata,บียอนด์ กะตะ,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,1780,20,Kata Palm,กะตะ ปาล์ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,1937,21,OZO Kata,โอโซ่ ภูเก็ต,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,1963,22,Peach Blossom,พีช บลอสซั่ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,2064,23,Karon Stadium,สนามกีฬากะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,2369,24,Woraburi Karon,วรบุรี ภูเก็ต รีสอร์ท,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,2454,25,Karon Circle,วงเวียนกะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,2997,26,Secret cliff resort ,ซีเคร็ท คลิฟ,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,3674,27,Patong Bus Stop,จุดจอดรถป่าตอง,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,3858,28,Bangla Patong ,ป่าตอง บางลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,4204,29,Four Point Patong,โฟร์ พอยต์ ป่าตอง,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,4320,30,Kalim School,โรงเรียนกะหลิม,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,4437,31,Kalim Bus Stop,หาดกะหลิม,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,5519,32,Big C Kamala,บิ๊กซี กมลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,5751,33,Phuket Fantasea,ภูเก็ต แฟนตาซี,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,5863,34,Kamala Muslim Cemetery,กุโบร์ กมลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,5945,35,Cafe De Mar,คาเฟ่ เดล มาร์,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,6442,36,Surin Beach,หาดสุรินทร์,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,7024,37,Lotus Cherngtalay,โลตัสเชิงทะเล,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,7313,38,Laguna,ลากูน่า,0,2025-11-19 14:56:19.030623,,,0.0
10-1155,Rawai -> Airport,8342,7346,39,Cherngtalay School,เชิงทะเลวิทยคม,0,2025-11-19 14:56:19.030623,,,1.0
10-1155,Rawai -> Airport,8342,8300,40,Baan Khian,บ้านเคียน,0,2025-11-19 14:56:19.030623,,,10.0
10-1155,Rawai -> Airport,8342,8532,41,Thalang Public Health Office,สำนักงานสาธารณสุข ถลาง,2,2025-11-19 14:56:19.030623,,,13.0
10-1159,Rawai -> Airport,4777,4,16,Rawai Beach,หาดราไวย์,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,642,17,Sai Yuan,ไสยวน,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,1565,18,Andaman Cannacia Resort,อันดามัน คาเนเซีย,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,1728,19,Beyond hotel Kata,บียอนด์ กะตะ,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,1780,20,Kata Palm,กะตะ ปาล์ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,1937,21,OZO Kata,โอโซ่ ภูเก็ต,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,1963,22,Peach Blossom,พีช บลอสซั่ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,2064,23,Karon Stadium,สนามกีฬากะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,2369,24,Woraburi Karon,วรบุรี ภูเก็ต รีสอร์ท,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,2454,25,Karon Circle,วงเวียนกะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,2997,26,Secret cliff resort ,ซีเคร็ท คลิฟ,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,3674,27,Patong Bus Stop,จุดจอดรถป่าตอง,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,3858,28,Bangla Patong ,ป่าตอง บางลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,4204,29,Four Point Patong,โฟร์ พอยต์ ป่าตอง,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,4320,30,Kalim School,โรงเรียนกะหลิม,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,4437,31,Kalim Bus Stop,หาดกะหลิม,0,2025-11-19 14:56:19.030623,,,0.0
10-1159,Rawai -> Airport,4777,5519,32,Big C Kamala,บิ๊กซี กมลา,7,2025-11-19 14:56:19.030623,2025-11-19 15:05:56.632171,9.626692466666666,0.0
10-1159,Rawai -> Airport,4777,5751,33,Phuket Fantasea,ภูเก็ต แฟนตาซี,9,2025-11-19 14:56:19.030623,,,1.0
10-1159,Rawai -> Airport,4777,5863,34,Kamala Muslim Cemetery,กุโบร์ กมลา,10,2025-11-19 14:56:19.030623,,,2.0
10-1159,Rawai -> Airport,4777,5945,35,Cafe De Mar,คาเฟ่ เดล มาร์,11,2025-11-19 14:56:19.030623,,,2.0
10-1159,Rawai -> Airport,4777,6442,36,Surin Beach,หาดสุรินทร์,16,2025-11-19 14:56:19.030623,,,7.0
10-1159,Rawai -> Airport,4777,7024,37,Lotus Cherngtalay,โลตัสเชิงทะเล,23,2025-11-19 14:56:19.030623,,,15.0
10-1159,Rawai -> Airport,4777,7313,38,Laguna,ลากูน่า,29,2025-11-19 14:56:19.030623,,,20.0
10-1159,Rawai -> Airport,4777,7346,39,Cherngtalay School,เชิงทะเลวิทยคม,29,2025-11-19 14:56:19.030623,,,20.0
10-1159,Rawai -> Airport,4777,8300,40,Baan Khian,บ้านเคียน,39,2025-11-19 14:56:19.030623,,,30.0
10-1159,Rawai -> Airport,4777,8532,41,Thalang Public Health Office,สำนักงานสาธารณสุข ถลาง,41,2025-11-19 14:56:19.030623,,,32.0
10-1196,Rawai -> Airport,2496,4,16,Rawai Beach,หาดราไวย์,0,2025-11-19 14:56:19.030623,,,0.0
10-1196,Rawai -> Airport,2496,642,17,Sai Yuan,ไสยวน,0,2025-11-19 14:56:19.030623,,,0.0
10-1196,Rawai -> Airport,2496,1565,18,Andaman Cannacia Resort,อันดามัน คาเนเซีย,0,2025-11-19 14:56:19.030623,,,0.0
10-1196,Rawai -> Airport,2496,1728,19,Beyond hotel Kata,บียอนด์ กะตะ,0,2025-11-19 14:56:19.030623,,,0.0
10-1196,Rawai -> Airport,2496,1780,20,Kata Palm,กะตะ ปาล์ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1196,Rawai -> Airport,2496,1937,21,OZO Kata,โอโซ่ ภูเก็ต,0,2025-11-19 14:56:19.030623,,,0.0
10-1196,Rawai -> Airport,2496,1963,22,Peach Blossom,พีช บลอสซั่ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1196,Rawai -> Airport,2496,2064,23,Karon Stadium,สนามกีฬากะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1196,Rawai -> Airport,2496,2369,24,Woraburi Karon,วรบุรี ภูเก็ต รีสอร์ท,0,2025-11-19 14:56:19.030623,,,0.0
10-1196,Rawai -> Airport,2496,2454,25,Karon Circle,วงเวียนกะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1196,Rawai -> Airport,2496,2997,26,Secret cliff resort ,ซีเคร็ท คลิฟ,4,2025-11-19 14:56:19.030623,2025-11-19 15:00:22.645053,4.0602405,0.0
10-1196,Rawai -> Airport,2496,3674,27,Patong Bus Stop,จุดจอดรถป่าตอง,10,2025-11-19 14:56:19.030623,2025-11-19 15:05:56.648013,9.6269565,1.0
10-1196,Rawai -> Airport,2496,3858,28,Bangla Patong ,ป่าตอง บางลา,13,2025-11-19 14:56:19.030623,,,1.0
10-1196,Rawai -> Airport,2496,4204,29,Four Point Patong,โฟร์ พอยต์ ป่าตอง,19,2025-11-19 14:56:19.030623,,,6.0
10-1196,Rawai -> Airport,2496,4320,30,Kalim School,โรงเรียนกะหลิม,20,2025-11-19 14:56:19.030623,,,7.0
10-1196,Rawai -> Airport,2496,4437,31,Kalim Bus Stop,หาดกะหลิม,21,2025-11-19 14:56:19.030623,,,8.0
10-1196,Rawai -> Airport,2496,5519,32,Big C Kamala,บิ๊กซี กมลา,31,2025-11-19 14:56:19.030623,,,19.0
10-1196,Rawai -> Airport,2496,5751,33,Phuket Fantasea,ภูเก็ต แฟนตาซี,33,2025-11-19 14:56:19.030623,,,21.0
10-1196,Rawai -> Airport,2496,5863,34,Kamala Muslim Cemetery,กุโบร์ กมลา,34,2025-11-19 14:56:19.030623,,,22.0
10-1196,Rawai -> Airport,2496,5945,35,Cafe De Mar,คาเฟ่ เดล มาร์,35,2025-11-19 14:56:19.030623,,,23.0
10-1196,Rawai -> Airport,2496,6442,36,Surin Beach,หาดสุรินทร์,40,2025-11-19 14:56:19.030623,,,27.0
10-1196,Rawai -> Airport,2496,7024,37,Lotus Cherngtalay,โลตัสเชิงทะเล,47,2025-11-19 14:56:19.030623,,,35.0
10-1196,Rawai -> Airport,2496,7313,38,Laguna,ลากูน่า,53,2025-11-19 14:56:19.030623,,,40.0
10-1196,Rawai -> Airport,2496,7346,39,Cherngtalay School,เชิงทะเลวิทยคม,53,2025-11-19 14:56:19.030623,,,41.0
10-1196,Rawai -> Airport,2496,8300,40,Baan Khian,บ้านเคียน,63,2025-11-19 14:56:19.030623,,,50.0
10-1196,Rawai -> Airport,2496,8532,41,Thalang Public Health Office,สำนักงานสาธารณสุข ถลาง,65,2025-11-19 14:56:19.030623,,,53.0
10-1207,Rawai -> Airport,10382,4,16,Rawai Beach,หาดราไวย์,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,642,17,Sai Yuan,ไสยวน,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,1565,18,Andaman Cannacia Resort,อันดามัน คาเนเซีย,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,1728,19,Beyond hotel Kata,บียอนด์ กะตะ,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,1780,20,Kata Palm,กะตะ ปาล์ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,1937,21,OZO Kata,โอโซ่ ภูเก็ต,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,1963,22,Peach Blossom,พีช บลอสซั่ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,2064,23,Karon Stadium,สนามกีฬากะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,2369,24,Woraburi Karon,วรบุรี ภูเก็ต รีสอร์ท,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,2454,25,Karon Circle,วงเวียนกะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,2997,26,Secret cliff resort ,ซีเคร็ท คลิฟ,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,3674,27,Patong Bus Stop,จุดจอดรถป่าตอง,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,3858,28,Bangla Patong ,ป่าตอง บางลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,4204,29,Four Point Patong,โฟร์ พอยต์ ป่าตอง,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,4320,30,Kalim School,โรงเรียนกะหลิม,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,4437,31,Kalim Bus Stop,หาดกะหลิม,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,5519,32,Big C Kamala,บิ๊กซี กมลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,5751,33,Phuket Fantasea,ภูเก็ต แฟนตาซี,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,5863,34,Kamala Muslim Cemetery,กุโบร์ กมลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,5945,35,Cafe De Mar,คาเฟ่ เดล มาร์,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,6442,36,Surin Beach,หาดสุรินทร์,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,7024,37,Lotus Cherngtalay,โลตัสเชิงทะเล,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,7313,38,Laguna,ลากูน่า,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,7346,39,Cherngtalay School,เชิงทะเลวิทยคม,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,8300,40,Baan Khian,บ้านเคียน,0,2025-11-19 14:56:19.030623,,,0.0
10-1207,Rawai -> Airport,10382,8532,41,Thalang Public Health Office,สำนักงานสาธารณสุข ถลาง,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,4,16,Rawai Beach,หาดราไวย์,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,642,17,Sai Yuan,ไสยวน,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,1565,18,Andaman Cannacia Resort,อันดามัน คาเนเซีย,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,1728,19,Beyond hotel Kata,บียอนด์ กะตะ,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,1780,20,Kata Palm,กะตะ ปาล์ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,1937,21,OZO Kata,โอโซ่ ภูเก็ต,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,1963,22,Peach Blossom,พีช บลอสซั่ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,2064,23,Karon Stadium,สนามกีฬากะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,2369,24,Woraburi Karon,วรบุรี ภูเก็ต รีสอร์ท,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,2454,25,Karon Circle,วงเวียนกะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,2997,26,Secret cliff resort ,ซีเคร็ท คลิฟ,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,3674,27,Patong Bus Stop,จุดจอดรถป่าตอง,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,3858,28,Bangla Patong ,ป่าตอง บางลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,4204,29,Four Point Patong,โฟร์ พอยต์ ป่าตอง,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,4320,30,Kalim School,โรงเรียนกะหลิม,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,4437,31,Kalim Bus Stop,หาดกะหลิม,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,5519,32,Big C Kamala,บิ๊กซี กมลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,5751,33,Phuket Fantasea,ภูเก็ต แฟนตาซี,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,5863,34,Kamala Muslim Cemetery,กุโบร์ กมลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,5945,35,Cafe De Mar,คาเฟ่ เดล มาร์,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,6442,36,Surin Beach,หาดสุรินทร์,0,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,7024,37,Lotus Cherngtalay,โลตัสเชิงทะเล,0,2025-11-19 14:56:19.030623,2025-11-19 15:01:23.393223,5.07271,0.0
10-1210,Rawai -> Airport,7004,7313,38,Laguna,ลากูน่า,5,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,7346,39,Cherngtalay School,เชิงทะเลวิทยคม,6,2025-11-19 14:56:19.030623,,,0.0
10-1210,Rawai -> Airport,7004,8300,40,Baan Khian,บ้านเคียน,15,2025-11-19 14:56:19.030623,,,10.0
10-1210,Rawai -> Airport,7004,8532,41,Thalang Public Health Office,สำนักงานสาธารณสุข ถลาง,18,2025-11-19 14:56:19.030623,,,12.0
